Anrufe;calls;;
Aufmerksamkeit;attention;;
bei;near;;
bleiben;stay;;
Beweis;evidence;;
Ende;finish;;
fixieren;fix;;
genieáen;enjoy;;
Kleid;dress;;
kurz;short;;
abseits;apart;;
Anwalt;lawyer;;
Geschenk;present;;
sicher;certain;safe;proof
privat;private;;
Glck;happiness;;
Bein;leg;;
Mitarbeiter;staff;;
gerade;straight;;
stark, kr„ftig;strong;;
groá;tall;;
gew”hnlich;usual;;
ungew”hnlich;unusual;;
blind;blind;;
faul, tr„ge;lazy;;
schlecht, schlimm;bad;;
Messer;knife;;
die Messer;knives;;
Fehler;mistake;;
Verstand;mind;;
erw„hnen;mention;;
(be) merken, beachten;notice;;
Neuigkeiten;news;;
brauchen;need;;
wie bitte?;pardon;;
Meinung;opinion;;
sich fragen;wonder;;
planen;plan;;
vielleicht;perhaps;;
erkl„ren;explain;;
Sinn;sense;;
sinnlos;senseless;;
verbieten;forbid;;
galube ;believe;;
vergessen;forget;;
Attraktion;draw;;
Bedeutung;sense;;
Absicht;aim;;
Geldspende;donation;;
derzeit;currently;;
Ausland;abroad;;
genau;strict;;
